"metric","base-llm","FT-llm"
"ANOnto","0.0","0.9473684210526315"
"AROnto","5.2","1.2105263157894737"
"CBOOnto","0.8","0.9473684210526315"
"CBOnto2","0.8","0.9473684210526315"
"CROnto","0.0","0.0"
"DITOnto","3.0","2.0"
"INROnto","0.8","0.9473684210526315"
"LCOMOnto","1.3333333333333333","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","2.0","18.0"
"NOMOnto","19.2","3.736842105263158"
"POnto","0.2","0.0"
"PROnto","0.96","0.797752808988764"
"RFCOnto","20.0","4.684210526315789"
"RROnto","0.04","0.20224719101123595"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.3333333333333333","1.0"
"WMCOnto2","1.0","1.0"
