"metric","base-llm","FT-llm"
"ANOnto","0.0","0.9230769230769231"
"AROnto","0.75","1.3846153846153846"
"CBOOnto","0.875","0.9230769230769231"
"CBOnto2","0.875","0.9230769230769231"
"CROnto","0.0","0.0"
"DITOnto","3.0","3.0"
"INROnto","0.875","0.9230769230769231"
"LCOMOnto","1.1666666666666667","1.3"
"NACOnto","1.0","1.0"
"NOCOnto","3.5","4.0"
"NOMOnto","2.25","4.153846153846154"
"POnto","0.75","0.23076923076923078"
"PROnto","0.72","0.8181818181818182"
"RFCOnto","3.125","5.076923076923077"
"RROnto","0.28","0.18181818181818182"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.1666666666666667","1.3"
"WMCOnto2","1.0","1.0"
