"","metric","base-llm_llama-3-8b-8bits"
"1","ANOnto","0.09090909090909091"
"2","AROnto","2.3636363636363638"
"3","CBOOnto","0.9545454545454546"
"4","CBOnto2","0.9545454545454546"
"5","CROnto","0.0"
"6","DITOnto","3.0"
"7","INROnto","0.9545454545454546"
"8","LCOMOnto","1.05"
"9","NACOnto","1.0"
"10","NOCOnto","10.5"
"11","NOMOnto","3.590909090909091"
"12","POnto","0.045454545454545456"
"13","PROnto","0.79"
"14","RFCOnto","4.545454545454546"
"15","RROnto","0.21"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.05"
"19","WMCOnto2","1.0"
