"","metric","FT-llm_llama-2-7b-4bits"
"1","ANOnto","0.673469387755102"
"2","AROnto","0.04081632653061224"
"3","CBOOnto","0.9795918367346939"
"4","CBOnto2","0.9795918367346939"
"5","CROnto","0.0"
"6","DITOnto","2.0"
"7","INROnto","0.9795918367346939"
"8","LCOMOnto","1.0"
"9","NACOnto","1.0"
"10","NOCOnto","48.0"
"11","NOMOnto","0.12244897959183673"
"12","POnto","0.0"
"13","PROnto","0.1111111111111111"
"14","RFCOnto","1.1020408163265305"
"15","RROnto","0.8888888888888888"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.0"
"19","WMCOnto2","1.0"
