"metric","AirlinesCustomerSatisfaction","AmazonRating","BigBasketProducts","BrazilianE-commerce","CustomerComplaint","eCommerce"
"ANOnto","0.9","0.75","0.8","0.8333333333333334","0.8333333333333334","0.8"
"AROnto","1.6","1.0","2.4","2.0","1.6666666666666667","2.0"
"CBOOnto","0.9","0.75","0.8","0.8333333333333334","0.8333333333333334","0.8"
"CBOnto2","0.9","0.75","0.8","0.8333333333333334","0.8333333333333334","0.8"
"CROnto","0.0","0.0","0.0","0.0","0.0","0.0"
"DITOnto","2.0","2.0","2.0","2.0","2.0","2.0"
"INROnto","0.9","0.75","0.8","0.8333333333333334","0.8333333333333334","0.8"
"LCOMOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NACOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"NOCOnto","9.0","3.0","4.0","5.0","5.0","4.0"
"NOMOnto","5.1","3.0","7.4","6.166666666666667","5.0","6.0"
"POnto","0.0","0.0","0.0","0.0","0.0","0.0"
"PROnto","0.85","0.8","0.9024390243902439","0.8809523809523809","0.8571428571428571","0.8823529411764706"
"RFCOnto","6.0","3.75","8.2","7.0","5.833333333333333","6.8"
"RROnto","0.15","0.2","0.0975609756097561","0.11904761904761904","0.14285714285714285","0.11764705882352941"
"TMOnto","0.0","0.0","0.0","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","1.0","1.0","1.0","1.0"
"WMCOnto2","1.0","1.0","1.0","1.0","1.0","1.0"
