"metric","base-llm","FT-llm"
"ANOnto","0.0","0.8"
"AROnto","2.909090909090909","1.6"
"CBOOnto","0.9090909090909091","0.8"
"CBOnto2","0.9090909090909091","0.8"
"CROnto","0.0","0.0"
"DITOnto","3.0","2.0"
"INROnto","0.9090909090909091","0.8"
"LCOMOnto","1.1111111111111112","1.0"
"NACOnto","1.0","1.0"
"NOCOnto","5.0","4.0"
"NOMOnto","5.090909090909091","4.8"
"POnto","0.18181818181818182","0.0"
"PROnto","0.8484848484848485","0.8571428571428571"
"RFCOnto","6.0","5.6"
"RROnto","0.15151515151515152","0.14285714285714285"
"TMOnto","0.0","0.0"
"TMOnto2","0.0","0.0"
"WMCOnto","1.1111111111111112","1.0"
"WMCOnto2","1.0","1.0"
