"","metric","base-llm_llama-3-70b-4bits"
"1","ANOnto","0.0"
"2","AROnto","2.9285714285714284"
"3","CBOOnto","0.9285714285714286"
"4","CBOnto2","0.9285714285714286"
"5","CROnto","0.21428571428571427"
"6","DITOnto","3.0"
"7","INROnto","0.9285714285714286"
"8","LCOMOnto","1.625"
"9","NACOnto","1.0"
"10","NOCOnto","2.1666666666666665"
"11","NOMOnto","5.142857142857143"
"12","POnto","0.35714285714285715"
"13","PROnto","0.8470588235294118"
"14","RFCOnto","6.071428571428571"
"15","RROnto","0.15294117647058825"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","1.625"
"19","WMCOnto2","1.0"
