"","metric","base-llm_llama-2-13b-4bits"
"1","ANOnto","1.2"
"2","AROnto","0.6"
"3","CBOOnto","0.9333333333333333"
"4","CBOnto2","0.9333333333333333"
"5","CROnto","0.0"
"6","DITOnto","4.0"
"7","INROnto","0.9333333333333333"
"8","LCOMOnto","2.3333333333333335"
"9","NACOnto","1.0"
"10","NOCOnto","4.666666666666667"
"11","NOMOnto","3.0"
"12","POnto","0.6"
"13","PROnto","0.7627118644067796"
"14","RFCOnto","3.933333333333333"
"15","RROnto","0.23728813559322035"
"16","TMOnto","0.0"
"17","TMOnto2","0.0"
"18","WMCOnto","2.3333333333333335"
"19","WMCOnto2","1.0"
