"metric","BigBasketProducts","BrazilianE-commerce","eCommerce"
"ANOnto","0.0","0.0","1.2"
"AROnto","0.3333333333333333","0.16666666666666666","0.6"
"CBOOnto","0.6666666666666666","0.9166666666666666","0.9333333333333333"
"CBOnto2","0.6666666666666666","0.9166666666666666","0.9333333333333333"
"CROnto","0.3333333333333333","0.25","0.0"
"DITOnto","2.0","2.0","4.0"
"INROnto","0.6666666666666666","0.9166666666666666","0.9333333333333333"
"LCOMOnto","1.0","1.0","2.3333333333333335"
"NACOnto","1.0","1.0","1.0"
"NOCOnto","2.0","11.0","4.666666666666667"
"NOMOnto","3.6666666666666665","0.75","3.0"
"POnto","0.0","0.0","0.6"
"PROnto","0.8461538461538461","0.45","0.7627118644067796"
"RFCOnto","4.333333333333333","1.6666666666666667","3.933333333333333"
"RROnto","0.15384615384615385","0.55","0.23728813559322035"
"TMOnto","0.0","0.0","0.0"
"TMOnto2","0.0","0.0","0.0"
"WMCOnto","1.0","1.0","2.3333333333333335"
"WMCOnto2","1.0","1.0","1.0"
